trait_id	trait_label	phenotype_code_or_accession	disease_group	phenotype_module	source_database	consortium_or_biobank	ancestry	sample_size	case_count	control_count	genome_build	effect_scale	ldsc_h2	ldsc_h2_se	ldsc_h2_z	ldsc_mean_chi2	ldsc_intercept	ldsc_power_class	trait_level_h2_qc_decision	appears_in_final_31_pairs	n_final_downstream_pairs	external_metadata_source	notes
ALLERGIC_RHINITIS_GCST90038664	Allergic rhinitis	ALLERGIC_RHINITIS_GCST90038664	nasal index phenotype	M0_sinonasal_anchor	GWAS Catalog GCST90038664	UK Biobank / GWAS Catalog	UK Biobank, country of recruitment U.K.; GWAS Catalog ancestry group NR	484598	27415	457183	GWAS Catalog full summary statistics; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary disease GWAS effect estimate as provided by GWAS Catalog/OpenGWAS harmonized summary statistics; local LDSC used SNP/A1/A2/Z	0.0143	0.0016	8.9375	Not available in the nasal-anchor audit	1.0542	replacement_nasal_anchor_retained	nasal_anchor_retained_for_current_formal_analysis	True	13	GWAS Catalog REST: https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90038664	Initial LDSC-screened trait universe from heritability_summary.tsv. Original sample-size metadata not present in local audit. Four nasal anchor GWAS are listed separately from the 57 comparator traits; current primary downstream analyses retained allergic rhinitis and nasal polyps, while chronic sinusitis/chronic rhinitis were not retained for final interpretable pair-level evidence. External metadata were updated from GWAS Catalog REST or UK Biobank/Pan-UKB public documentation where available.
CHRONIC_SINUSITIS_GCST90038673	Chronic sinusitis	CHRONIC_SINUSITIS_GCST90038673	nasal index phenotype	M0_sinonasal_anchor	GWAS Catalog GCST90038673	UK Biobank / GWAS Catalog	UK Biobank, country of recruitment U.K.; GWAS Catalog ancestry group NR	484598	3014	481584	GWAS Catalog full summary statistics; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary disease GWAS effect estimate as provided by GWAS Catalog/OpenGWAS harmonized summary statistics; local LDSC used SNP/A1/A2/Z	0.0002	0.0008	0.25	Not available in the nasal-anchor audit	0.9989	replacement_nasal_anchor_low_or_not_retained	nasal_anchor_not_retained_for_current_formal_interpretable_analysis	False	0	GWAS Catalog REST: https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90038673	Initial LDSC-screened trait universe from heritability_summary.tsv. Original sample-size metadata not present in local audit. Four nasal anchor GWAS are listed separately from the 57 comparator traits; current primary downstream analyses retained allergic rhinitis and nasal polyps, while chronic sinusitis/chronic rhinitis were not retained for final interpretable pair-level evidence. External metadata were updated from GWAS Catalog REST or UK Biobank/Pan-UKB public documentation where available.
NASAL_POLYPS_GCST90018883	Nasal polyps	NASAL_POLYPS_GCST90018883	nasal index phenotype	M0_sinonasal_anchor	GWAS Catalog GCST90018883	BBJ / UK Biobank / FinnGen meta-analysis; GWAS Catalog	European ancestry subset used for LDSC-compatible interpretation; original study also includes East Asian ancestry	450059	5093	444966	GWAS Catalog full summary statistics; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary disease GWAS effect estimate as provided by GWAS Catalog/OpenGWAS harmonized summary statistics; local LDSC used SNP/A1/A2/Z	0.007	0.0013	5.38462	Not available in the nasal-anchor audit	1.0259	replacement_nasal_anchor_retained	nasal_anchor_retained_for_current_formal_analysis	True	18	GWAS Catalog REST: https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90018883	Initial LDSC-screened trait universe from heritability_summary.tsv. Original sample-size metadata not present in local audit. Four nasal anchor GWAS are listed separately from the 57 comparator traits; current primary downstream analyses retained allergic rhinitis and nasal polyps, while chronic sinusitis/chronic rhinitis were not retained for final interpretable pair-level evidence. External metadata were updated from GWAS Catalog REST or UK Biobank/Pan-UKB public documentation where available. GWAS Catalog reports both European and East Asian strata; table records the European stratum to match LDSC-compatible interpretation.
CHRONIC_RHINITIS_PANUKB_J31	Chronic rhinitis, nasopharyngitis and pharyngitis	CHRONIC_RHINITIS_PANUKB_J31	nasal index phenotype	M0_sinonasal_anchor	Pan-UK Biobank / UK Biobank ICD-10 J31 source phenotype	Pan-UK Biobank / UK Biobank	Pan-UKB ancestry-specific GWAS source; local LDSC row used harmonized European-compatible sumstats	494968	7210	487758	Pan-UKB source summary statistics; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary disease GWAS effect estimate; local LDSC used harmonized SNP/A1/A2/Z	2.0798e-05	0.0008	0.0259975	Not available in the nasal-anchor audit	1.005	replacement_nasal_anchor_low_or_not_retained	nasal_anchor_not_retained_for_current_formal_interpretable_analysis	False	0	UK Biobank field 131467 public page reports 7,210 J31 participants; total/control count approximated from UKB/Pan-UKB scale for table completeness	Initial LDSC-screened trait universe from heritability_summary.tsv. Original sample-size metadata not present in local audit. Four nasal anchor GWAS are listed separately from the 57 comparator traits; current primary downstream analyses retained allergic rhinitis and nasal polyps, while chronic sinusitis/chronic rhinitis were not retained for final interpretable pair-level evidence. External metadata were updated from GWAS Catalog REST or UK Biobank/Pan-UKB public documentation where available. Approximate J31 case/control values were filled for table completeness from UK Biobank public field 131467 participant count; use cautiously and do not interpret as final GWAS denominator.
J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust	J10_HYPERSPNEUMONI	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	495170	575	494595	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	-0.0001	0.0007	-0.14285714285714288	0.9994	1.0027	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
M13_SYSTSLCE	Systemic sclerosis	M13_SYSTSLCE	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	485114	854	484260	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	-3.5005e-05	0.0008	-0.04375625	1.0152	1.0127	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
J10_VIRALPNEUMO	Viral pneumonia	J10_VIRALPNEUMO	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	420719	5181	415538	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	9.8543e-05	0.0009	0.10949222222222221	1.0342	1.0287	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
SLE_OTH	Other forms of systemic lupus erythematosus	SLE_OTH	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	499333	291	499042	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0002	0.0008	0.25	1.0028	0.9974	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
L12_VITILIGO	Vitiligo	L12_VITILIGO	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	466064	391	465673	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0004	0.0008	0.5	1.0152	1.0071	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
AUTOHEP	Autoimmune hepatitis	AUTOHEP	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	372537	264	372273	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0006	0.001	0.6	1.0062	1.0015	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
