drug_name	annotation_source	analysis_date	annotation_scope	n_pairs	pair_list	n_target_genes_total	target_gene_list	approved_drug_annotation	interpretation_boundary
RUXOLITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	12	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__L12_ATOPIC;NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA;NASAL_POLYPS_GCST90018883__L12_PSORIASIS	2	IL7R;JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
AZACITIDINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	10	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__M13_RHEUMA	1	CD247	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BLINATUMOMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	10	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__M13_RHEUMA	1	CD247	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
MUROMONAB-CD3	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	10	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__M13_RHEUMA	1	CD247	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
MIDOSTAURIN	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	9	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	2	HSPA4;JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CYTARABINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	8	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	2	HSPA4;PRIM1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ARSENIC TRIOXIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	7	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	1	HSPA4	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ASCORBIC ACID	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	7	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	1	HSPA4	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BELINOSTAT	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	7	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	1	GDF9	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BORTEZOMIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	7	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	2	HSPA4;PSMB6	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
