P	pair_id	pair_name	exposure	outcome	direction	LCV_gcp	LCV_gcp_se	LCV_gcp_p	LCV_status	MR_IVW_beta	MR_IVW_se	MR_IVW_p	MR_IVW_OR	MR_IVW_OR_lci95	MR_IVW_OR_uci95	MR_status	MR_Egger_beta	MR_Egger_se	MR_Egger_p	MR_Egger_OR	MR_Egger_OR_lci95	MR_Egger_OR_uci95	weighted_median_beta	weighted_median_se	weighted_median_p	weighted_median_OR	weighted_median_OR_lci95	weighted_median_OR_uci95	MR_PRESSO_beta	MR_PRESSO_se	MR_PRESSO_p	MR_PRESSO_OR	MR_PRESSO_OR_lci95	MR_PRESSO_OR_uci95	n_instruments_raw	n_instruments_after_strength_filter	n_instruments_after_clump	n_instruments_after_harmonise	n_palindromic_removed	egger_intercept	egger_p	heterogeneity_q	heterogeneity_p	mr_presso_global_p	n_outlier	sensitivity_status	mr_presso_analysis	interpretation_note
P1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	Allergic rhinitis – Allergic conjunctivitis	ALLERGIC_RHINITIS_GCST90038664	H7_ALLERGICCONJUNCTIVITIS	ALLERGIC_RHINITIS_GCST90038664_to_H7_ALLERGICCONJUNCTIVITIS	0.540201745429854	0.272927162297131	0.0342279097630448	success	10.6290170071207	0.454668815368837	7.24145625029387e-121	41316.4914151874	16947.3393332536	100726.871002796	eligible	10.5952086612833	1.01994796822004	6.23526200041291e-11	39942.997781779	5410.57496061802	294874.959391186	13.1628512624234	0.454668815368837	2.77265044143747e-184	520659.347034981	213565.826356411	1269333.02148485	10.4099809589215	0.826398872363175	2.51995502031985e-12	33189.2384378836	6569.80328144953	167664.920987353	6312	6312	35	29	5	-0.000550751042490385	0.898590687351717	126.929239069991	1.49187499191552e-14	5e-04	3	eligible	Outlier-corrected	LCV: trait1_to_trait2;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	Allergic rhinitis – Allergic conjunctivitis	H7_ALLERGICCONJUNCTIVITIS	ALLERGIC_RHINITIS_GCST90038664	H7_ALLERGICCONJUNCTIVITIS_to_ALLERGIC_RHINITIS_GCST90038664	0.540201745429854	0.272927162297131	0.0342279097630448	success	0.0407062203531216	0.00178360756121022	2.74745762780273e-115	1.04154607555671	1.03791132203962	1.04519355793882	eligible	0.0414417864441071	0.00516487921354674	1.11341220391725e-07	1.04231248336933	1.03181421144777	1.05291757075448	0.0430844648678241	0.00178360756121022	6.48929487096006e-129	1.04402607465091	1.04038266651389	1.04768224196135	0.0371115382449662	0.00332660826089557	1.16346532694118e-08	1.03780876975161	1.03106411062358	1.0445975487615	2465	2465	26	22	3	-0.000299248107359593	0.374114307951207	170.351953725932	2.20231281749874e-25	5e-04	6	eligible	Outlier-corrected	LCV: trait1_to_trait2;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	Allergic rhinitis – Allergic asthma	ALLERGIC_RHINITIS_GCST90038664	ALLERG_ASTHMA	ALLERGIC_RHINITIS_GCST90038664_to_ALLERG_ASTHMA	0.0960363734204477	0.134200586135213	0.433689280822305	success	17.7735233802663	0.674729261176359	6.38698299927775e-153	52353187.4260225	13950892.3002359	196464582.67174	eligible	18.0051517295141	1.24718972288299	3.23910771320581e-14	65999104.3546242	5726756.50051013	760619344.51457	17.511593266981	0.674729261176359	1.65972366436142e-148	40289170.4299258	10736115.7012259	151192228.092909	17.7735233802663	1.19677728337182	8.37280304831717e-15	52353187.4260221	5014478.09343805	546588534.757163	6312	6312	35	29	5	0.00384636074352674	0.468643906110059	88.0897983741855	3.93052295439769e-08	5e-04	0	eligible	Raw	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	Allergic rhinitis – Allergic asthma	ALLERG_ASTHMA	ALLERGIC_RHINITIS_GCST90038664	ALLERG_ASTHMA_to_ALLERGIC_RHINITIS_GCST90038664	0.0960363734204477	0.134200586135213	0.433689280822305	success	0.0262251062290486	0.00099535332626983	5.47738260903059e-153	1.02657201021981	1.02457123085169	1.02857669670338	eligible	0.0259586780931603	0.00292458252622397	2.38806273415791e-09	1.02629853898461	1.02043243806857	1.03219836201558	0.0315048265862872	0.00099535332626983	7.13965497831121e-220	1.03200635665135	1.02999498579222	1.03402165530897	0.0288892618154481	0.00234391466432614	2.37481474590467e-11	1.02931060417606	1.02459272183139	1.03405021067838	7704	7704	34	28	2	-8.9798928464695e-05	0.775317210222791	202.715556637523	7.541322403878e-29	5e-04	5	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P3	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	Allergic rhinitis – Atopic dermatitis	ALLERGIC_RHINITIS_GCST90038664	L12_ATOPIC	ALLERGIC_RHINITIS_GCST90038664_to_L12_ATOPIC	-0.285327570762942	0.168630945229585	0.0900841655696374	success	8.80942294095993	0.450388503695714	3.41688622085002e-85	6697.05355645716	2770.16308726258	16190.572513323	eligible	8.80982910957613	1.50905158212918	3.24570226008273e-06	6699.77424192398	347.960166312253	129000.326009924	9.75544888636723	0.450388503695714	4.88435495361525e-104	17247.9553735916	7134.4284324272	41698.07958508	9.09407313636457	0.786991937035744	1.45594668162211e-10	8902.37288400303	1903.72722284339	41630.0413288527	6312	6312	35	29	5	6.59667871611179e-06	0.999176967630305	282.849467074032	6.08286708120371e-44	5e-04	7	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P3	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	Allergic rhinitis – Atopic dermatitis	L12_ATOPIC	ALLERGIC_RHINITIS_GCST90038664	L12_ATOPIC_to_ALLERGIC_RHINITIS_GCST90038664	-0.285327570762942	0.168630945229585	0.0900841655696374	success	0.0154499365370574	0.000897229061929119	1.89251837411729e-66	1.01556990383936	1.01378552356609	1.01735742482916	eligible	0.0152095538087249	0.00217938608018848	3.18120881064118e-09	1.01532580771448	1.01099799524279	1.01967214639579	0.0124039357087735	0.000897229061929119	1.80828232727043e-43	1.01248118358144	1.01070223026252	1.01426326806483	0.0123759419603371	0.0015794787368207	2.05067085555092e-10	1.0124528408346	1.00932335786784	1.01559202699862	9851	9851	73	60	9	0.000165348114813986	0.371702918402456	341.780992947985	1.90910473574196e-41	5e-04	6	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P4	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	Allergic rhinitis – Eosinophilic asthma	ALLERGIC_RHINITIS_GCST90038664	ASTHMA_EOSINOPHIL_SUGG	ALLERGIC_RHINITIS_GCST90038664_to_ASTHMA_EOSINOPHIL_SUGG	-0.348615515283566	0.162379290209716	0.0260754292460428	success	21.5367319444851	1.26679080256236	8.0707545883568e-65	2255712996.18251	188351785.446025	27014562718.8906	eligible	23.1666854748527	4.81846563180571	5.10410517633177e-05	11512341546.781	911177.352768516	145453579906315	23.2143172069454	1.26679080256236	5.19971696704454e-75	12073963652.7841	1008174628.27097	144598558821.865	19.6322462442644	2.9041555691477	1.85685766789376e-06	335873864.530961	1132684.83046905	99596330629.9837	6312	6312	35	29	5	0.0265976462055699	0.198820545144794	388.323530913912	4.55398695286725e-65	5e-04	9	eligible	Outlier-corrected	LCV: trait2_to_trait1;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P4	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	Allergic rhinitis – Eosinophilic asthma	ASTHMA_EOSINOPHIL_SUGG	ALLERGIC_RHINITIS_GCST90038664	ASTHMA_EOSINOPHIL_SUGG_to_ALLERGIC_RHINITIS_GCST90038664	-0.348615515283566	0.162379290209716	0.0260754292460428	success	0.00906340054034547	0.000541089306708493	5.63548808859563e-63	1.00910459752255	1.00803497402354	1.01017535599648	eligible	0.00906126566695448	0.00190650379262156	0.000138414854228423	1.00910244321429	1.00533871867294	1.0128802581534	0.0113171487982836	0.000541089306708493	3.87020348027262e-97	1.01138142999115	1.0103093931115	1.01245460440658	0.00882346969134868	0.0016501052338883	0.000234807857375946	1.00886251124288	1.0056049125078	1.01213066277994	4903	4903	22	21	1	-7.48254054767777e-06	0.985891652187484	234.962599801163	1.20993951848417e-38	5e-04	9	eligible	Outlier-corrected	LCV: trait2_to_trait1;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P5	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE	Allergic rhinitis – Asthma	ALLERGIC_RHINITIS_GCST90038664	J10_ASTHMA_EXMORE	ALLERGIC_RHINITIS_GCST90038664_to_J10_ASTHMA_EXMORE	0.170722398496229	0.0730544225599176	0.0146158637543837	success	10.4625854882177	0.348718211424794	8.97327831733608e-198	34981.879863298	17660.7120596774	69291.1992809294	eligible	10.7594273649497	1.2338260593773	2.45805307237472e-09	47071.7054030938	4192.8177820472	528462.138050222	10.0623272555456	0.348718211424794	4.36250408137942e-183	23443.000789937	11835.2726721312	46435.2872351717	10.4279086808849	0.917806557524774	3.54882207160897e-10	33789.61145699	5591.52774323601	204190.678262394	6312	6312	35	29	5	0.00478533732915418	0.363699355133944	325.048884185749	2.51276473603881e-52	5e-04	8	eligible	Outlier-corrected	LCV: trait1_to_trait2;weak_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P5	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE	Allergic rhinitis – Asthma	J10_ASTHMA_EXMORE	ALLERGIC_RHINITIS_GCST90038664	J10_ASTHMA_EXMORE_to_ALLERGIC_RHINITIS_GCST90038664	0.170722398496229	0.0730544225599176	0.0146158637543837	success	0.0250228475201301	0.00123087178023338	7.07048040370504e-92	1.0253385466999	1.02286788998526	1.02781517109097	eligible	0.0247547718081427	0.00321557345336059	1.60393460543448e-10	1.02506371517844	1.01862354253335	1.03154460534277	0.0236369279457819	0.00123087178023338	3.46614999582668e-82	1.02391849420427	1.02145125924944	1.02639168857054	0.0207888030103327	0.00267283323459941	5.47652567612696e-10	1.02100639538822	1.01567158101733	1.0263692308684	15183	15183	75	62	6	-0.000288166377796422	0.132994008368064	424.04681757441	8.49418406311859e-56	5e-04	14	eligible	Outlier-corrected	LCV: trait1_to_trait2;weak_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
