analysis_scope	phenotype_domain	database	term_id	term_name	FDR	p_value	odds_ratio	overlap_count	input_gene_count	background_gene_count	term_size_in_background	gene_ratio	background_ratio	overlap_genes	source_analysis
domain	asthma_lower_airway	GO_BP	GO:0001816	cytokine production	0.007116368315540779	6.912451010724409e-6	4.4223728344525846	17	80	1456	96	17/80	96/1456	APOA2;ARNT;ARRB2;F11R;FCER1G;FOXP1;GLTPD2;IL13;IL33;IL4R;IRF1;JAK2;LRRC32;TLR1;TLR6;TSKU;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0001817	regulation of cytokine production	0.007116368315540779	6.912451010724409e-6	4.4223728344525846	17	80	1456	96	17/80	96/1456	APOA2;ARNT;ARRB2;F11R;FCER1G;FOXP1;GLTPD2;IL13;IL33;IL4R;IRF1;JAK2;LRRC32;TLR1;TLR6;TSKU;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0009617	response to bacterium	0.008346297059988305	1.2160704798428807e-5	5.3561930553656945	13	80	1456	61	13/80	61/1456	FCER1G;FOXP1;IL13;IL33;IL7R;JAK2;SLC22A4;SLC22A5;TLR1;TLR10;TLR6;TNIP3;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0002224	toll-like receptor signaling pathway	0.008346650533737445	1.6214959754710917e-5	18.394588803961007	6	80	1456	12	6/80	12/1456	ARRB2;IRF1;TLR1;TLR10;TLR6;TNIP3	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0002274	myeloid leukocyte activation	0.016006118441955413	3.97989598730775e-5	6.181823800251865	10	80	1456	41	10/80	41/1456	CAMK4;FCER1G;FOXP1;IL13;IL33;IL4R;JAK2;TLR1;TLR6;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0001774	microglial cell activation	0.016006118441955413	8.97899420515033e-5	18.164614956010883	5	80	1456	10	5/80	10/1456	IL13;IL33;JAK2;TLR1;TLR6	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0002269	leukocyte activation involved in inflammatory response	0.016006118441955413	8.97899420515033e-5	18.164614956010883	5	80	1456	10	5/80	10/1456	IL13;IL33;JAK2;TLR1;TLR6	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0006954	inflammatory response	0.016006118441955413	1.0873437771417913e-4	3.5670327529585406	16	80	1456	106	16/80	106/1456	ARNT;CAMK4;EXT1;F11R;FAM114A1;FCER1G;FOXP1;IL13;IL33;IL4R;JAK2;TLR1;TLR10;TLR6;TNIP3;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0006955	immune response	0.016006118441955413	1.2858549233568404e-4	2.9210526316019534	22	80	1456	180	22/80	180/1456	APOA2;ARRB2;CAMK4;CD247;CIITA;EXT1;FCER1G;FOXP1;IL13;IL33;IL4R;IL7R;IRF1;JAK2;PLD2;SLC22A5;TLR1;TLR10;TLR6;TNIP3;TSKU;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
domain	asthma_lower_airway	GO_BP	GO:0043207	response to external biotic stimulus	0.016006118441955413	1.4939462240885824e-4	3.210065061307795	18	80	1456	132	18/80	132/1456	ARRB2;CIITA;EXT1;FCER1G;FOXP1;IL13;IL33;IL4R;IL7R;IRF1;JAK2;SLC22A4;SLC22A5;TLR1;TLR10;TLR6;TNIP3;TSLP	enrichment_domain_asthma_lower_airway_vs_global_AB3782
