trait_or_pair_id	input_schema	chr_col	bp_col	snp_col	effect_allele_col	other_allele_col	beta_or_z_col	p_col	n_col	genome_build	allele_qc	ldsc_snp_set	placo_n_snps_gwas1	placo_n_snps_gwas2	placo_n_snps_after_qc	cpassoc_n_snps_after_qc	mtag_n_snps	mtag_n_chr	fusion_usable_snp_count	fusion_missing_z_count	fusion_status
ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165743	1159238	1159238	6261034	22	6261034	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165829	1159336	1159336	6262558	22	6262558	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165772	1159272	1159272	6261626	22	6261626	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165678	1159181	1159181	6260011	22	6260011	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__J10_BRONCHITIS	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165786	1159287	1159287	6261793	22	0	0	not selected for FUSION candidate TWAS or no FUSION sumstats file in final TWAS input directory
ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165806	1159310	1159310	6262276	22	6262276	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165769	1159271	1159271	6261572	22	6261572	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165772	1159271	1159271	6261611	22	6261611	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165772	1159272	1159272	6261626	22	6261626	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165787	1159287	1159287	6262001	22	6262001	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
