P	locus_id	chr	cytoband	cytoband_name	mid	genome_pos	locus_grade	support_n	n_pairs_at_locus	nearest_gene	positive_genes	gene_a_genes	n_gene_a	best_mtag_score	pair_id
P2	unified_locus_000022	1	chr1:160.5-161.7Mb	1q23.3	161104112.5	161104112.5	B	3	1	APOA2	APOA2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000023	1	chr1:166.7-168.2Mb	1q24.2	167443999	167443999	B	3	9	CD247	CD247	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000036	10	chr10:7.6-10.1Mb	10p14	8817328	1331786284.5	B	3	6	PRKCQ	PRKCQ	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000066	11	chr11:75.4-77.2Mb	11q13.5	76304124.5	1461968278	B	3	6	LRRC32	ACER3, TSKU	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000073	11	chr11:118.2-119.4Mb	11q23.3	118801190	1504465343.5	A	5	4	CCDC84	CCDC84	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000139	15	chr15:59.9-62.1Mb	15q22.2	61003627.5	1890961589.5	B	3	3	ICE2	ICE2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000141	15	chr15:66.5-69.1Mb	15q23	67819643.5	1897777605.5	B	3	1	ICE2	ICE2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000151	16	chr16:10.4-11.9Mb	16p13.13	11164392.5	1931572381.5	A	5	7	CLEC16A	CLEC16A, DEXI	CLEC16A	1	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000193	19	chr19:32.7-33.8Mb	19q13.11	33245077.5	2095465932	A	5	8	TDRD12	TDRD12	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000199	2	chr2:7.8-9Mb	2p25.1	8408376	181573046.5	B	3	3	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000240	2	chr2:240.1-243.2Mb	2q37.3	241659320.5	414823991	A	6	6	KIF1A	KIF1A	No Gene-A gene assigned	0	29.0405274010109	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
